51300023965,dcf,234,29
51300024556,bbb,69,244
51300033770,gaa,128,119
51300043444,gfc,52,277
51300046069,ggf,251,27
51300057261,fbc,224,42
51300080319,fcd,59,58
51300105159,ecd,227,41
51300136321,ece,234,276
51300151429,bdc,19,113
51300247525,edd,6,230
51300273730,afc,22,117
51300281496,gbg,233,188
51300299025,cbc,58,258
51300306877,gbe,84,164
51300328951,ffd,225,295
51300337741,eea,241,218
51300347917,cge,166,138
51300423105,eeg,149,71
51300442808,ceg,95,172
51300505835,dae,236,112
51300518103,cfd,31,54
51300525298,agd,92,299
51300538488,aee,39,207
51300551795,bdg,263,30
51300594260,dbd,279,272
51300622645,fec,196,157
51300623307,caf,121,95
51300652992,bcc,282,165
51300653166,afe,185,101
51300654376,cdc,151,62
51300662846,cdg,105,121
51300662871,beg,54,19
51300666264,cbc,281,258
51300688884,eef,27,64
51300733080,aef,32,287
51300740548,gbd,174,295
51300881584,dfa,106,283
51300882405,fdd,190,156
51300975573,eec,74,87
51300994832,bgb,126,44
51301036036,fec,291,175
51301052664,fea,149,97
51301064099,dgf,226,15
51301078546,eae,229,208
51301092909,fbf,138,128
51301111243,ded,185,153
51301118244,ecc,240,107
51301123794,bgg,185,93
51301161330,efd,59,8
51301186109,cfa,240,115
51301208803,egb,174,5
51301212959,ebe,263,74
51301213772,abg,160,210
51301234389,fdd,263,168
51301265661,bad,260,125
51301293338,bcg,111,110
51301309577,dbd,144,236
51301360387,agg,268,201
51301360998,fgd,229,8
51301374828,efg,172,237
51301375265,aee,22,182
51301383563,afd,92,152
51301394554,aae,17,148
51301411465,cae,146,151
51301412805,gcc,97,82
51301451808,ggb,297,8
51301475402,eec,192,79
51301479729,ggd,261,160
51301505550,dcb,28,295
51301508531,bbc,267,129
51301514626,fef,261,131
51301621953,eaa,206,93
51301716549,cec,224,279
51301787174,gbc,77,270
51301811960,cce,76,224
51301814584,eca,134,32
51301820125,dge,263,60
51301872253,acf,89,251
51301907416,ffc,195,76
51301908348,afc,244,111
51301915142,gff,167,5
51301956059,afc,263,92
51301973389,ead,223,95
51301988325,ecb,149,26
51302053236,bag,195,179
51302087052,fad,131,271
51302095866,cfc,17,128
51302129798,gag,14,187
51302238653,bbg,282,278
51302240693,cec,193,320
51302303265,gce,147,16
51302327807,ccg,103,151
51302360133,ccb,173,169
51302369735,dcd,18,137
51302373174,cbb,192,239
51302413886,fcd,82,66
51302418078,gcg,156,232
51302430231,eba,20,158
51302430296,caf,292,81
51302467442,bce,187,110
51302523312,eca,196,26
51302532206,bca,177,278
51302534394,gfb,262,289
51302534523,age,140,34
51302554112,gee,227,55
51302556193,agd,94,304
51302571777,abe,85,292
51302615102,abg,170,176
51302632759,bba,150,30
51302646041,bfd,82,26
51302664822,gde,146,53
51302682006,gge,54,84
51302732048,gde,85,55
51302746787,dbb,190,287
51302747406,dea,137,247
51302767671,eac,161,33
51302777139,fag,137,167
51302825389,aff,293,124
51302828763,dda,248,92
51302858625,ffd,172,339
51302870055,gab,278,275
51302889697,dgd,283,226
51302914808,ddd,67,33
51302936683,cfb,243,246
51302946969,cab,262,29
51302981518,fbe,104,112
51303026080,dcb,245,268
51303048841,age,49,39
51303064731,cgc,184,252
51303118943,bba,119,35
51303124007,cfg,80,268
51303149239,baf,95,174
51303172052,ebe,116,66
51303219476,fbd,14,205
51303250501,edg,274,147
51303266867,bed,170,32
51303281183,cbc,95,276
51303281330,ebb,246,234
51303293068,geb,150,241
51303301634,gdb,108,110
51303318464,dea,246,291
51303361720,ecg,250,205
51303362796,beb,139,201
51303435700,eab,48,181
51303440443,agb,174,150
51303467964,bed,95,36
51303504521,cdd,8,117
51303504702,fdf,2,38
51303521145,fcg,112,264
51303522460,ace,177,20
51303522771,efc,265,6
51303536526,bae,121,278
51303541149,feg,208,112
51303548637,fbd,175,178
