aaa,9937771,9424,107,376
aab,9779222,8553,65,147
aac,9487541,9558,35,63
aad,9982838,6572,118,256
aae,9930844,11516,127,208
aaf,9977818,9598,93,201
aag,9942458,8622,12,58
aba,9945808,8717,41,86
abb,9978569,8617,40,62
abc,9923117,7849,202,298
abd,9713150,9166,142,210
abe,9595582,8618,126,328
abf,9947070,9210,72,163
abg,9770874,11712,33,210
aca,9845800,9184,173,255
acb,9767899,9010,98,295
acc,9847399,9248,50,112
acd,9627136,9259,37,69
ace,9827441,10222,50,105
acf,9961214,8598,138,251
acg,9836551,8884,70,174
ada,9614893,8723,168,224
adb,9869223,7783,228,468
adc,9447775,9206,10,30
add,9751343,9355,97,209
ade,9914450,8612,91,135
adf,9892215,7700,36,230
adg,9776995,8507,14,81
aea,9911059,8955,247,408
aeb,9971861,8620,75,271
aec,9953570,9542,106,158
aed,9802949,7396,112,279
aee,9982885,10408,57,207
aef,9976170,9024,308,793
aeg,9972716,8025,651,1290
afa,9582622,8058,73,152
afb,9730994,8415,238,423
afc,9974122,8630,48,117
afd,9923552,9665,84,171
afe,9687542,9161,54,124
aff,9882469,10375,77,124
afg,9932558,8394,10,27
aga,9949507,7705,17,45
agb,9979763,8039,152,226
agc,9648790,7711,334,503
agd,9985602,8623,614,1072
age,9841752,7338,25,40
agf,9951939,6880,92,173
agg,9902534,9191,222,323
baa,9346124,8955,110,214
bab,9975433,8354,157,296
bac,9342794,8409,227,324
bad,9881134,8149,49,140
bae,9965107,7761,338,505
baf,9639964,10535,87,192
bag,9203550,9653,181,289
bba,9623204,9980,12,35
bbb,9970616,8911,99,244
bbc,9948675,8033,109,158
bbd,9913313,8939,665,1425
bbe,9901454,9409,208,367
bbf,9751628,11960,167,305
bbg,9951220,8907,233,359
bca,9765527,8376,113,311
bcb,9935772,9899,315,464
bcc,9874475,10976,99,197
bcd,9936141,7507,173,319
bce,9599714,9604,103,144
bcf,9557615,7978,236,383
bcg,9865570,8674,43,115
bda,9590570,9192,53,117
bdb,9798771,9991,90,180
bdc,9780802,10527,46,125
bdd,9856019,9580,141,335
bde,9792973,9154,5,8
bdf,9975725,9072,131,220
bdg,9980576,7919,8,30
bea,9764149,8523,9,34
beb,9918865,7819,396,729
bec,9862402,12031,43,104
bed,9608257,10037,21,58
bee,9962337,8009,159,246
bef,9981786,8392,196,344
beg,9844067,8028,6,19
